"Giropay", "Giropay"
"Bank Transfer", "Bank Transfer"
"EPS", "EPS"
"Sofort Banking", "Sofortüberweisung"
"Ukash","Ukash"
"Paysafecard","Paysafecard"
"Bitcoin", "Bitcoin"
"Bank Transfer description", "Banküberweisung (Bank Transfer) erlaubt Ihnen von Ihrem eigenen Konto lokal zu zahlen. Sie werden eine Geschäftsnummer und die Bankverbindung bekommen, um die Zahlung zu leisten."
"Sofort Banking description","Sofortüberweisung ist eine online Zahlungsart, eine unmittelbare Zahlung per direkt Banküberweisung aus einem Bankkonto durch Internet Banking."
"Giropay description","Giropay ist eine online Zahlungsart welche Ihnen erlaubt, zeitnah Zahlungen durch Internet Banking zu machen. Um Giropay zu benutzen, brauchen Sie ein Girokonto (ein Girokonto welches bei einer beteiligten Bank oder bei der Sparkasse eröffnet wird)."
"EPS description", "Der EPS E-Zahlung Standard erlaubt Ihnen zeitnah Zahlungen durch Internet Banking zu machen. Die wichtigste Banken durch welchen Sie Zahlungen machen können sind: Bank Austria Creditanstalt, Erste Bank Sparkasse, Raiffeisen Bank und Bawag PSK."
"Ukash description","Der Ukash Gutschein ist ein vorausgezahlter Gutschein, mit welchen Sie Zahlungen ohne Zusatskosten leisten können. Also, ob Sie einen Gutschein nutzen wollen, müssen Sie der <a href=""http://www.ukash.com/de-DE/where-to-get/"" target=""_blank"">nächste Laden</a> besuchen. Für Zahlungen, müssen Sie den 19-Ziffer Kode und den Wert des Gutscheins eingeben."
"Paysafecard description","Der Paysafecard Gutschein ist ein vorausgezahlter Gutschein, mit welchen Sie Zahlungen ohne Zusatskosten leisten können. Also, ob Sie etwas mit einen Paysafecard Gutschein kaufen wollen, müssen Sie der <a href=""https://www.paysafecard.com/de-de/"" target=""_blank"">nächste Laden</a> besuchen. Für Zahlungen, müssen Sie den 16-Ziffer Kode eingeben und alles ist fertig - die Zahlung wird geleistet."
"Bitcoin description", "Bitcoin is the simplest way to pay online. Bitcoin uses peer-to-peer technology to operate with no central authority or banks and is secured by military grade cryptography."
