"Please choose one of the following payment methods.","Por favor, elija una de las siguientes formas de pago."
"If you choose to simply continue, default method will be", "Si decide continuar, simplemente, el método por defecto será"
"ToditoCash","ToditoCash"
"Bancomer Pago referenciado","Bancomer Pago referenciado"
"Santander Pago referenciado","Santander Pago referenciado"
"ScotiaBank Pago referenciado","ScotiaBank Pago referenciado"
"7-Eleven Pago en efectivo","7-Eleven Pago en efectivo"
"Oxxo Pago en efectivo","Oxxo Pago en efectivo"
"IXE Pago referenciado","IXE Pago referenciado"
"DineroMail","DineroMail"
"Ukash","Ukash"
"Paysafecard","Paysafecard"
"Credit Cards Colombia","Credit Cards Colombia"
"PSE","PSE"
"ACH Debit","ACH Debit"
"Via Baloto","Via Baloto"
"Referenced Payment","Referenced Payment"
"Mozca","Mozca"
"CuentaDigital","CuentaDigital"
"Trustly","Trustly"
"Bank Transfer","Bank Transfer"
"CashU","CashU"
"PagoEfectivo", "PagoEfectivo"
"Pagos en efectivo","Pagos en efectivo"
"Bitcoin","Bitcoin"
"ToditoCash description","Todito Cash es una tarjeta prepago recargable que puede utilizar para hacer pagos y puede recargarla de la misma manera que se hace con el móvil en más de 20.000 puntos, incluyendo <a href=""https://www.toditocash.com/php/ubicacion.php"" target=""_blank"">tiendas y bancos de barrio</a>. Si no tiene una cuenta Todito Cash, pulse <a href=""https://www.toditocash.com/php/cuenta.php"" target=""_blank"">aquí</a> para registrarse."
"Bancomer Pago referenciado description","Para pagar con Bancomer - pago referenciado imprime y presenta los instrucciones en sucursal de los bancos. Recuerda que la referencia generada en esta ficha solo es válida para el pago en efectivo o con cheque con depósito en ventanilla de sucursal bancaria."
"Santander Pago referenciado description","Para pagar con Santander - pago referenciado imprime y presenta los instrucciones en sucursal de los bancos. Recuerda que la referencia generada en esta ficha solo es válida para el pago en efectivo o con cheque con depósito en ventanilla de sucursal bancaria."
"ScotiaBank Pago referenciado description","Para pagar con ScotiaBank - pago referenciado imprime y presenta los instrucciones en sucursal de los bancos. Recuerda que la referencia generada en esta ficha solo es válida para el pago en efectivo o con cheque con depósito en ventanilla de sucursal bancaria."
"7-Eleven Pago en efectivo description","Imprime y presenta este comprobante en cualquier tienda 7-ELEVEN del país para realizar el pago por tu compra. Indícale al cajero de la tienda el importe exacto que figura en el presente recibo. De lo contrario es probable que no podamos acreditar correctamente la compra."
"Oxxo Pago en efectivo description","Imprime y presenta este comprobante en cualquier tienda Oxxo del país para realizar el pago por tu compra. Indícale al cajero de la tienda el importe exacto que figura en el presente recibo. De lo contrario es probable que no podamos acreditar correctamente la compra."
"IXE Pago referenciado description","Para pagar con IXE - pago referenciado imprime y presenta los instrucciones en sucursal de los bancos. Recuerda que la referencia generada en esta ficha solo es válida para el pago en efectivo o con cheque con depósito en ventanilla de sucursal bancaria."
"DineroMail description","DineroMail es un importante sistema electrónico de pago en el mercado de América Latina que ofrece los métodos de pago más utilizados disponibles en Argentina, Brasil, Chile, Colombia y México. Si no tiene una cuenta DineroMail, pulse <a href=""http://www.dineromail.com/"" target="_blank">aquí</a> para registrarse."
"Ukash description","El cupón Ukash es un cupón prepago que se puede utilizar para hacer pagos - sin costo alguno. Por lo tanto, si desea pagar con un cupón Ukash, sólo tiene que visitar <a href=""http://www.ukash.com/es-ES/where-to-get/"" target=""_blank"">la tienda más cercana</a>. Para pagar, simplemente introduzca el código de 19 dígitos y la cuantía del cupón."
"Paysafecard description","El cupón Paysafecard es un cupón prepago que se puede utilizar para hacer pagos - sin costo alguno. Por lo tanto, si quiere comprar utilizando un cupón Paysafecard, sólo tienes que visitar <a href=""http://www.paysafecard.com/uk/buy/"" target=""_blank"">la tienda más cercana</a>. Seguidamente tiene que introducir el código de 16 dígitos y esto es todo – ya realizó el pago."
"Credit Cards Colombia description","Por favor seleccione la marca de su tarjeta e introduzca los datos de la tarjeta. Tipos de tarjetas compatibles: Visa, MasterCard, Amex, Diners."
"PSE description","(Acrónimo en español) Electronic Services Supplier (Proveedor de Servicios Electrónicos) es un servicio de ACH Colombia SA que le redirija hacia la página web del banco de su elección y luego deberá introducir su nombre de usuario, su contraseña y su número de cuenta."
"ACH Debit description","ACH débito es un método de pago que permite al Comerciante cobrar fondos de su cuenta bancaria a través de su código de cuenta bancaria y su número de cuenta. Es el único que puede autorizar un débito ACH, cuando el importe autorizado se deducirá de su cuenta."
"Via Baloto description","Via Baloto es un método de pago en efectivo que se puede utilizar para hacer pagos. Recibirá un número de referencia para su pago y un número de operación. Con estos datos, puede pagar en los centros Via Baloto. Por favor, visite <a href=""http://www.autoreseditores.com/pagosonline-puntos-via-baloto.html"" target=""_blank"">pagosonline-puntos-via-baloto</a> para la lista completa de los centros de pago."
"Referenced Payment description","Referenced Payment es un método de pago en efectivo que puede utilizar para hacer pagos. Debe imprimir el cupón con el código de barras y pagarlo en una sucursal de Bancolombia, Banco de Occidente y Banco Helm."
"Mozca description","El pago Mozca es muy sencillo: sólo tiene que utilizar su teléfono móvil y una contraseña de 4 dígitos para confirmar que el móvil le pertenece y que está en sus manos. Le Enviarán un código MOZCA vía SMS como confirmación de su pago."
"CuentaDigital description","CuentaDigital es un proveedor líder de monederos electrónicos de América del Sur que ofrece los métodos de pago más utilizados disponibles. Para comprar con este método, debe tener una cuenta CuentaDigital. Pulse <a href=""https://www.cuentadigital.com/area.php"" target=""_blank"">aquí</a> para registrarse y luego recargue la cuenta si aún no dispone de una cuenta CuentaDigital."
"Trustly description","Trustly (anteriormente Instant Bank/GluePay) le permite realizar pagos en línea desde su cuenta bancaria - de forma rápida, fácil y segura. Sólo tiene que elegir su banco, seguir las instrucciones y rellenar los datos necesarios. A continuación, debe confirmar el pago como lo hace normalmente con el servicio de Internet Banking, firmando por un código bancario único de seguridad a través del token, terminando de esta forma el pago."
"Bank Transfer description","La transferencia bancaria (Bank Transfer) le permite pagar de forma local desde su cuenta bancaria. Rrecibirá un número de referencia y la cuenta bancaria para realizar el pago."
"CashU description","CashU es la más utilizada cartera electrónico de prepago en el Oriente Medio y África del Norte (excluyendo tarjetas de crédito). Usted puede simplemente utilizar las tarjetas de crédito de prepago CashU o puede abrir una cuenta CashU y posteriormente puede recargar su cuenta. Si no tiene una cuenta CashU, pulse <a href=""https://www.cashu.com/CLogin/registersForm?lang=en"" target=""_blank"">aquí</a> para registrarse."
"Pagos en efectivo Chile description","Print and present this voucher at any Pagos en efective office or BCI bank branch to pay your purchase. Please point to the cashier the exact amount contained in the instructions. Otherwise you may not be able to properly pay the transaction."
"Pagos en efectivo Argentina description","Imprime y presenta este comprobante en cualquier sucursal PagoFácil/Rapipago/BaproPagos/CobroExpress del país para realizar el pago por tu compra. Por favor, paga el monto exacto indicado en el resumen. Este comprobante solo sirve para esta transacción."
"PagoEfectivo Description","Compra con PagoEfectivo y paga a través de internet o en cualquier oficina del BCP, BBVA, Interbank, Scotiabank, en Agencias de Pago de Servicios Western Union y en establecimientos autorizados que tengan el logo de PagoEfectivo y/o FullCarga. <br><a href=""https://pagoefectivo.pe/CNT/QueEsPagoEfectivo.aspx?cod=SAP&mon=1"" target=""blank"">Mas informacion sobre PagoEfectivo</a>"
"Bitcoin description","Bitcoin es la forma más sencilla de pagar en línea. Bitcoin utiliza la tecnología  peer-to-peer (red entre iguales) para operar sin una autoridad central o sin los bancos y está protegido por la criptografía de grado militar."
"MercadoPago description","MercadoPago es el monedero electrónico más importante en América Latina que le permite pagar a través de los métodos de pago más populares."
"Alternative payment methods","Métodos de pago alternativos"
"Thank you, the transaction has been processed successfuly. After we receive the final confirmation, we will release the goods.","Gracias, la transacción se ha procesado exitosamente. Después de que recibamos la confirmación final, se dará a conocer los productos."
"There was a problem processing your payment. Please try again.","Hubo un problema al procesar su pago. Por favor, inténtelo de nuevo."
"You have canceled the payment.","Ha cancelado el pago."
"Thank you, the transaction is pending. After we receive the final confirmation, we will release the goods.","Gracias, la transacción está pendiente. Después de que recibamos la confirmación final, se dará a conocer los productos."
