"Please choose one of the following payment methods.","Si prega di scegliere uno dei seguenti metodi di pagamento."
"If you choose to simply continue, default method will be", "Se si sceglie di continuare semplicemente, metodo di default sarà"
"Bank Transfer","Bank Transfer"
"CashU","CashU"
"MyBank","MyBank"
"Bitcoin","Bitcoin"
"Paysafecard","Paysafecard"
"Sofort Banking","Sofort Banking"
"Bank Transfer description","Il bonifico bancario Le offre la possibilità di pagare localmente dal Suo conto bancario. Riceverà un numero di riferimento e il numero del conto bancario per poter effettuare il pagamento."
"Ukash description","Ukash voucher is a prepaid voucher you can use to pay - there are no extra fees. So, if you want to pay using Ukash voucher you simply visit your <a href=""http://www.ukash.com/it-it/where-to-get/"" target=""_blank"">nearest store</a>. To pay you simply type in the 19 digit voucher code and the voucher value."
"Paysafecard description","Paysafecard voucher is a prepaid voucher you can use to pay- there are no extra fees. So, if you want to purchase using Paysafecard voucher you simply visit your <a href=""https://www.paysafecard.com/it-it/buy/"" target=""_blank"">nearest store</a>. Then you simply type in the 16 digit voucher code and that's it - the payment is done."
"MyBank Description","<a href=""https://www.mybankpayments.eu/Che-cos-MyBank-N=b306cd47-7c51-45a9-b8fb-1bb0a48b1291-L=EN.aspx"" target=""_blank"">MyBank</a> e una soluzione semplice e sicura per pagare i tuoi acquisti online in tutta Europa, tramite il portale di Internet banking della tua banca per eseguire il pagamento."
"Bitcoin description","<a href=""https://it.bitcoin.it/wiki/Pagina_principale"" target=""_blank"">Bitcoin</a> è un nuovo sistema sicuro di pagamento, come denaro contante virtuale. E' decentralizzato e ha costi aggiuntivi molto bassi o nulli."
"Sofort Banking description","Sofort Banking is an online payment method, an instant payment through a direct bank transfer from your bank account via internet banking."
"Thank you, the transaction has been processed successfuly. After we receive the final confirmation, we will release the goods.","Grazie, la transazione è stata elaborata con successo. Dopo aver ricevuto la conferma definitiva, si rendono disponibili i beni."
"There was a problem processing your payment. Please try again.","C'è stato un problema durante l'elaborazione del vostro pagamento. Riprova.""
"You have canceled the payment.","Hai annullato il pagamento."
"Thank you, the transaction is pending. After we receive the final confirmation, we will release the goods.","Grazie, la transazione è attesa. Dopo aver ricevuto la conferma definitiva, si rendono disponibili i beni."
